#Datos de cortas de madeira en Galicia entre 1972 e 2004, tomados dos Anuarios de Estadística Agraria.
#Eduardo Corbelle Rico, 8 de setembro de 2017
#Datos en metros cúbicos
#
#-------------------

ano,provincia,grupo,volume
1986,Pontevedra,Coníferas,271984
1986,A Coruña,Eucalipto,399223
1986,Lugo,Eucalipto,176014
1986,Ourense,Eucalipto,1990
1986,Pontevedra,Eucalipto,285055
1986,A Coruña,Frondosas,414699
1986,Lugo,Frondosas,202877
1986,Ourense,Frondosas,7564
1986,Pontevedra,Frondosas,292357
1987,A Coruña,Coníferas,1177012
1987,Lugo,Coníferas,455510
1987,Ourense,Coníferas,173671
1987,Pontevedra,Coníferas,328085
1987,A Coruña,Eucalipto,466093
1987,Lugo,Eucalipto,313628
1987,Ourense,Eucalipto,1282
1987,Pontevedra,Eucalipto,299562
1987,A Coruña,Frondosas,479893
1987,Lugo,Frondosas,357409
1987,Ourense,Frondosas,7586
1987,Pontevedra,Frondosas,310164
1988,A Coruña,Coníferas,1742400
1988,Lugo,Coníferas,530448
1988,Ourense,Coníferas,457710
1988,Pontevedra,Coníferas,438240
1988,A Coruña,Eucalipto,694350
1988,Lugo,Eucalipto,292870
1988,Ourense,Eucalipto,3000
1988,Pontevedra,Eucalipto,496500
1988,A Coruña,Frondosas,750590
1988,Lugo,Frondosas,336183
1988,Ourense,Frondosas,23320
1988,Pontevedra,Frondosas,528421
1989,A Coruña,Coníferas,1390838
1989,Lugo,Coníferas,681369
1989,Ourense,Coníferas,466967
1989,Pontevedra,Coníferas,384370
1989,A Coruña,Eucalipto,879809
1989,Lugo,Eucalipto,325187
1989,Ourense,Eucalipto,1316
1989,Pontevedra,Eucalipto,397883
1989,A Coruña,Frondosas,935634
1989,Lugo,Frondosas,381192
1989,Ourense,Frondosas,11379
1989,Pontevedra,Frondosas,428210
1990,A Coruña,Coníferas,1613362
1990,Lugo,Coníferas,897326
1990,Ourense,Coníferas,710357
1990,Pontevedra,Coníferas,735267
1990,A Coruña,Eucalipto,1020700
1990,Lugo,Eucalipto,539020
1990,Ourense,Eucalipto,4502
1990,Pontevedra,Eucalipto,495499
1990,A Coruña,Frondosas,1085335
1990,Lugo,Frondosas,598918
1990,Ourense,Frondosas,13132
1990,Pontevedra,Frondosas,503797
1991,A Coruña,Coníferas,1438336
1991,Lugo,Coníferas,1147039
1991,Ourense,Coníferas,440530
1991,Pontevedra,Coníferas,591715
1991,A Coruña,Eucalipto,1087400
1991,Lugo,Eucalipto,523356
1991,Ourense,Eucalipto,3375
1991,Pontevedra,Eucalipto,414969
1991,A Coruña,Frondosas,1152315
1991,Lugo,Frondosas,594890
1991,Ourense,Frondosas,12387
1991,Pontevedra,Frondosas,435202
1992,A Coruña,Coníferas,1241626
1992,Lugo,Coníferas,986992
1992,Ourense,Coníferas,389451
1992,Pontevedra,Coníferas,591755
1992,A Coruña,Eucalipto,905712
1992,Lugo,Eucalipto,473190
1992,Ourense,Eucalipto,2912
1992,Pontevedra,Eucalipto,426409
1992,A Coruña,Frondosas,966302
1992,Lugo,Frondosas,540274
1992,Ourense,Frondosas,12045
1992,Pontevedra,Frondosas,446324
1993,A Coruña,Coníferas,1290457
1993,Lugo,Coníferas,900063
1993,Ourense,Coníferas,302531
1993,Pontevedra,Coníferas,462238
1993,A Coruña,Eucalipto,1380374
1993,Lugo,Eucalipto,404730
1993,Ourense,Eucalipto,1917
1993,Pontevedra,Eucalipto,281994
1993,A Coruña,Frondosas,1428030
1993,Lugo,Frondosas,465445
1993,Ourense,Frondosas,10720
1993,Pontevedra,Frondosas,307781
1994,A Coruña,Coníferas,NA
1994,Lugo,Coníferas,NA
